Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,26.72,19.0,#,#,#,#,#,#,#,#,#,-,#,#,#,#,#,#,#,#,#,-,#,-,#,-
00AT,Hounslow,11.5,6.8,12.0,4.7,12.2,6.3,12.6,6.4,12.4,5.9,12.9,7.1,12.32,7.0,13.02,6.5,13.37,6.6,13.23,5.4,13.80,6.0,13.13,6.0,14.12,7.1,13.85,5.6,14.48,5.6,15.03,5.5,15.24,5.4,15.62,6.3,15.33,8.2,15.91,6.1
00AU,Islington,13.4,8.4,14.9,7.0,15.1,8.2,15.3,7.5,16.4,8.5,16.9,11.0,15.69,11.0,16.41,9.2,17.40,7.1,18.35,9.1,18.04,9.5,18.21,8.1,18.02,9.3,18.28,6.9,19.24,7.9,19.91,7.2,20.60,7.5,21.46,6.6,22.29,8.4,18.97,10.0
00AW,Kensington and Chelsea,25.8,16.0,26.2,14.0,27.2,18.0,28.2,14.0,25.9,17.0,26.2,17.0,26.06,16.0,29.63,11.0,32.10,19.0,29.32,12.0,22.87,19.0,24.14,20.0,#,#,#,#,#,#,23,18,20,18,#,#,23.58,17.0,#,#
00AX,Kingston upon Thames,14.5,10.0,14.1,9.8,13.0,10.0,14.7,9.6,14.9,9.6,18.1,9.9,17.37,8.0,18.32,7.8,16.69,9.7,19.51,10.0,18.41,7.6,19.00,7.3,18.77,7.7,18.59,8.7,18.38,9.2,18.36,7.9,20.78,9.2,21.77,9.0,21.09,11.0,23.87,11.0
00AY,Lambeth,11.3,7.9,13.0,6.7,12.8,7.3,13.4,5.6,13.3,6.7,14.5,6.6,14.34,6.3,15.08,6.3,16.66,6.2,16.28,4.7,16.02,5.9,15.88,6.6,15.38,7.2,16.02,6.2,16.73,5.3,17.54,5.8,17.69,6.0,17.98,5.2,20.01,6.4,19.73,7.2
00AZ,Lewisham,11.1,8.8,12.1,7.4,13.0,8.5,12.9,6.9,11.6,6.1,12.0,6.7,12.76,7.6,13.53,6.7,13.61,6.0,13.53,6.3,14.45,4.7,16.12,4.5,15.00,4.3,15.15,6.0,15.54,7.2,16.06,5.7,16.26,6.5,16.42,6.4,16.61,7.9,18.10,9.3
00BA,Merton,13.5,8.8,12.6,9.3,13.1,8.3,15.9,7.6,14.2,7.0,15.2,5.8,16.19,7.0,17.18,7.3,16.77,6.6,17.17,7.2,15.96,8.9,17.55,7.7,15.63,7.4,16.31,7.4,16.70,6.3,17.36,7.5,16.73,8.3,16.98,8.4,17.97,12.0,16.23,12.0
00BB,Newham,8.5,5.7,8.8,4.8,10.0,6.4,10.4,6.2,10.7,4.3,10.8,4.7,11.43,5.0,11.51,5.1,11.50,5.6,10.05,5.8,10.55,6.5,11.08,5.8,11.13,5.2,12.03,6.4,11.93,5.0,13.42,5.2,14.24,5.1,15.39,4.9,15.54,7.7,16.48,5.2
00BC,Redbridge,12.4,7.0,14.0,7.5,12.3,8.1,11.8,7.8,13.5,7.2,14.7,8.5,15.91,6.7,15.55,6.8,16.22,8.0,15.25,8.6,17.37,6.5,16.71,6.4,15.48,6.2,16.62,8.5,16.66,8.2,17.21,5.7,16.58,6.0,17.61,7.6,19.17,9.2,19.65,9.1
00BD,Richmond upon Thames,19.6,9.5,18.4,10.0,19.4,11.0,18.6,11.0,17.9,8.3,19.3,9.3,21.06,9.5,19.65,9.3,22.27,8.8,21.61,9.0,21.54,9.9,19.91,8.4,20.66,7.7,19.71,9.6,21.26,8.2,21.56,10.0,22.69,8.3,24.72,8.7,26.33,10.0,22.68,11.0
00BE,Southwark,11.4,11.0,13.0,9.1,12.0,7.5,12.3,7.8,12.5,8.3,13.0,7.7,15.05,7.6,15.78,7.2,15.61,7.9,16.64,7.7,15.83,6.7,15.50,6.9,15.40,5.9,16.37,6.3,16.32,5.6,16.82,6.2,17.38,6.4,18.70,7.1,19.59,8.9,19.37,7.9
00BF,Sutton,12.8,6.3,13.3,6.4,12.6,5.6,13.0,6.9,14.2,6.1,14.5,6.5,15.61,7.3,15.78,5.3,15.41,6.6,15.54,6.7,16.22,5.9,16.44,4.8,15.54,5.3,16.02,4.5,16.92,6.2,16.36,6.6,16.88,5.8,17.55,4.5,16.28,8.2,17.37,8.8
00BG,Tower Hamlets,12.4,8.1,12.9,7.5,13.5,9.3,13.6,6.4,13.8,6.5,15.5,5.7,16.36,6.5,16.25,6.9,16.31,7.0,16.14,5.6,16.12,6.3,16.87,6.0,17.38,4.7,16.90,7.8,17.31,8.2,18.88,6.1,18.32,7.8,19.78,5.6,20.78,9.0,19.97,8.1
00BH,Waltham Forest,11.3,6.9,12.1,5.2,12.1,5.2,11.8,5.6,12.4,6.3,13.2,7.6,13.21,8.5,13.88,4.6,13.25,5.7,13.09,6.2,13.46,6.4,13.62,5.6,13.87,5.5,14.25,4.9,14.35,4.6,15.29,6.1,15.51,7.4,16.77,7.1,18.19,7.9,18.57,5.4
00BJ,Wandsworth,15.1,9.0,16.3,7.0,15.7,7.7,16.6,7.1,16.4,6.2,17.6,7.3,18.79,6.3,20.37,6.0,19.11,5.1,18.72,7.4,18.68,5.2,19.25,5.6,19.77,5.5,18.58,6.2,20.90,6.3,20.94,5.9,20.60,8.2,21.88,8.3,20.97,9.4,21.42,9.8
