Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,!,!,!,!,#,-,#,-,!,!,#,-,#,-,#,-,#,#,!,!,!,!,186,-,!,!,!,!,#,-,#,#,#,-,#,-
00AT,Hounslow,101.4,16.0,135.2,11.0,122.1,13.0,142.6,15.0,143.0,10.0,156.6,9.1,146.3,9.0,155.5,9.7,163.1,12.0,161.5,8.2,149.5,8.1,169.3,9.3,159.5,6.9,158.0,7.8,179.1,8.1,186.4,9.5,189.3,7.8,187.4,8.7,219.9,6.2,212.9,8.3
00AU,Islington,#,#,173.4,14.0,161.0,17.0,#,#,148.4,19.0,140.2,20.0,199.4,20.0,167.0,14.0,168.1,16.0,184.8,14.0,211.6,12.0,207.1,12.0,194.3,13.0,178.1,12.0,202.9,10.0,191.4,12.0,212.4,9.3,252.4,11.0,240.2,17.0,217.0,14.0
00AW,Kensington and Chelsea,#,#,171.0,20.0,176.7,19.0,#,#,144.5,17.0,189.4,18.0,195.5,17.0,#,#,200.6,20.0,#,#,#,#,214.5,15.0,150.6,20.0,171.9,15.0,161.2,16.0,#,#,203.8,19.0,219.2,14.0,#,#,#,#
00AX,Kingston upon Thames,134.6,20.0,139.3,14.0,155.1,18.0,#,#,175.9,14.0,180.0,16.0,201.1,15.0,#,#,175.7,16.0,181.3,17.0,146.7,19.0,156.6,15.0,166.7,11.0,180.5,12.0,179.7,9.1,154.7,16.0,188.6,13.0,#,#,210.2,16.0,217.0,15.0
00AY,Lambeth,104.6,16.0,140.7,13.0,147.1,12.0,156.9,11.0,138.7,12.0,154.7,13.0,141.1,13.0,152.4,13.0,170.1,11.0,137.8,10.0,149.0,15.0,165.2,10.0,158.3,8.3,156.2,9.4,184.0,11.0,188.2,9.5,187.1,9.0,206.5,9.3,197.3,9.5,237.2,8.6
00AZ,Lewisham,151.6,9.9,151.8,11.0,141.7,13.0,156.6,10.0,145.9,11.0,176.1,11.0,156.8,12.0,176.7,12.0,170.9,11.0,167.7,9.6,172.1,9.0,177.6,10.0,176.5,7.8,188.1,9.6,187.3,9.7,194.3,8.7,201.7,7.5,189.4,9.9,232.1,9.7,221.8,9.5
00BA,Merton,#,#,129.9,16.0,164.5,13.0,#,#,148.7,15.0,202.0,15.0,163.9,13.0,169.8,13.0,167.7,12.0,171.6,10.0,186.5,13.0,174.4,14.0,186.5,13.0,153.8,9.6,157.7,10.0,185.8,9.5,178.0,10.0,210.3,13.0,205.3,13.0,246.7,12.0
00BB,Newham,116.9,12.0,119.5,16.0,131.2,11.0,143.1,9.7,145.2,8.0,138.7,7.7,136.4,8.6,128.4,8.9,130.6,6.6,130.0,6.7,129.8,5.1,148.3,5.3,146.1,5.6,155.9,5.7,172.2,5.0,179.4,4.2,187.3,6.5,210.5,5.2,216.0,9.5,207.9,7.2
00BC,Redbridge,112.7,15.0,136.9,14.0,131.3,19.0,129.2,11.0,150.4,11.0,163.4,11.0,156.5,15.0,173.0,14.0,178.7,9.4,184.1,11.0,170.3,13.0,179.5,11.0,157.2,7.3,174.5,9.0,198.3,7.6,189.9,8.3,197.3,7.7,209.4,7.0,197.3,9.9,225.7,10.0
00BD,Richmond upon Thames,#,#,204.8,17.0,234.8,17.0,202.8,18.0,196.2,20.0,#,#,215.3,16.0,210.8,16.0,198.4,13.0,251.2,14.0,279.4,15.0,264.2,14.0,196.9,11.0,207.0,15.0,#,#,#,#,221.5,17.0,240.8,17.0,207.0,13.0,203.2,14.0
00BE,Southwark,124.3,16.0,147.7,11.0,142.7,11.0,126.4,17.0,136.3,8.5,145.2,9.2,145.0,13.0,135.8,8.8,157.1,9.3,141.1,9.6,139.4,9.5,151.5,8.3,155.2,7.9,174.2,7.7,181.5,11.0,188.0,8.0,204.0,8.6,198.4,7.7,183.3,12.0,191.6,12.0
00BF,Sutton,136.4,14.0,133.7,15.0,120.2,13.0,155.7,11.0,163.4,12.0,177.6,11.0,154.9,17.0,191.4,13.0,151.7,16.0,166.3,8.7,156.2,13.0,190.0,12.0,187.9,13.0,193.1,11.0,191.3,10.0,158.7,8.4,168.3,8.4,230.4,7.4,187.9,14.0,250.5,12.0
00BG,Tower Hamlets,145.1,18.0,136.0,20.0,143.0,17.0,127.1,14.0,149.9,12.0,162.8,16.0,147.7,20.0,145.5,14.0,156.7,12.0,125.7,9.3,140.5,7.8,148.8,8.6,139.6,8.1,154.3,6.2,170.2,6.0,179.4,8.5,190.4,5.7,184.6,5.7,194.4,11.0,211.3,8.8
00BH,Waltham Forest,112.7,19.0,134.8,14.0,125.2,15.0,133.9,12.0,150.4,13.0,134.2,14.0,156.9,12.0,170.6,13.0,156.3,14.0,155.4,11.0,167.8,7.2,172.3,7.2,151.9,7.2,174.2,6.3,198.6,7.9,188.1,8.1,189.4,9.1,188.5,6.3,199.5,10.0,213.9,9.3
00BJ,Wandsworth,144.9,15.0,153.5,11.0,162.7,13.0,165.6,13.0,172.4,8.8,152.4,18.0,154.4,15.0,207.4,9.0,189.8,12.0,187.6,15.0,187.8,11.0,200.2,11.0,183.7,12.0,211.6,13.0,229.1,11.0,223.9,11.0,219.2,7.8,199.2,12.0,204.3,11.0,206.7,8.3
00BK,Westminster,141.7,19.0,#,#,133.5,15.0,154.5,14.0,169.5,14.0,#,#,147.9,20.0,142.7,16.0,167.3,14.0,152.3,13.0,172.8,9.9,144.0,15.0,171.2,13.0,146.6,16.0,169.4,13.0,#,#,204.7,15.0,210.4,12.0,216.9,20.0,229.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,110.1,3.0,116.6,3.1,122.8,3.1,128.8,2.9,134.7,2.6,139.3,2.5,142.4,3.5,148.2,2.8,144.3,2.4,148.5,2.1,152.8,2.4,153.5,2.4,155.1,2.1,164.3,2.4,176.0,2.6,181.1,2.3,187.9,2.1,193.1,2.7,198.6,3.4,212.7,3.0
B,North West,116.9,1.8,125.6,1.6,129.1,1.7,133.0,1.7,136.0,1.8,141.3,1.8,144.3,2.2,150.9,1.8,150.6,1.5,151.2,1.6,155.2,1.5,155.5,1.6,157.5,1.5,164.5,1.6,173.6,1.5,178.4,1.4,185.6,1.4,197.0,1.5,200.0,1.9,211.0,1.5
D,Yorkshire and The Humber,113.8,2.1,119.9,2.0,124.7,2.2,130.0,2.0,132.0,2.0,142.4,2.1,145.4,2.0,149.3,1.7,150.6,1.9,150.0,1.8,155.3,1.8,159.1,1.7,163.2,1.6,168.3,1.7,173.5,1.5,181.6,1.5,185.1,1.4,196.6,1.6,196.2,2.2,213.1,1.7
E,East Midlands,109.7,2.2,117.0,1.9,128.3,2.0,126.9,2.2,135.1,1.9,138.0,1.9,140.2,2.0,147.0,1.9,147.6,1.9,149.8,2.1,151.8,1.8,153.8,1.7,155.3,1.6,159.9,1.6,175.3,1.9,179.4,1.6,180.0,1.8,188.2,1.9,199.5,2.2,211.1,1.9
F,West Midlands,112.3,2.4,117.2,2.0,125.4,2.2,130.7,2.1,133.6,2.0,141.3,2.0,139.9,2.4,148.9,2.0,154.2,1.8,150.0,1.8,153.6,1.9,160.0,1.8,161.0,1.9,161.9,1.8,174.8,1.4,181.2,1.2,186.8,1.3,195.5,1.3,202.6,1.8,220.6,1.7
G,East,113.7,2.0,119.0,2.0,128.8,2.1,128.7,2.0,136.8,2.0,142.7,1.9,145.3,1.9,152.6,2.0,152.8,1.7,154.2,1.8,152.0,1.4,161.0,1.9,159.0,1.7,161.9,1.6,173.7,1.7,181.8,1.7,187.0,1.7,198.6,1.5,202.7,2.1,215.3,1.8
H,London,133.1,2.7,143.6,2.2,149.3,2.2,150.2,2.3,153.5,1.9,158.9,2.3,159.3,2.2,164.5,2.1,166.5,1.8,160.3,1.9,161.9,2.0,169.9,1.8,164.8,1.8,172.6,1.8,183.4,1.5,186.9,1.6,192.2,1.5,198.8,1.2,205.8,1.7,213.1,1.7
J,South East,124.6,1.8,134.7,1.8,141.2,1.8,139.5,1.6,141.9,1.6,149.2,1.6,149.6,1.8,154.9,1.6,159.0,1.4,159.0,1.3,160.7,1.4,163.1,1.3,167.9,1.4,172.8,1.3,182.5,1.3,184.9,1.3,188.4,1.1,199.2,1.2,204.6,1.9,223.8,1.5
K,South West,114.1,2.0,120.8,1.9,129.3,2.5,131.8,2.0,138.3,1.8,143.6,1.9,149.0,2.0,152.3,2.0,154.9,2.1,152.1,1.6,154.7,2.0,156.3,1.9,158.4,1.8,165.7,1.8,175.6,1.7,179.4,1.7,183.9,1.7,196.6,1.5,196.4,2.2,214.7,1.8
924,Wales,115.2,3.0,121.6,2.6,128.7,2.9,132.2,2.7,136.4,2.5,140.8,3.2,147.4,3.3,151.7,2.4,152.1,2.4,151.8,2.5,150.9,2.4,157.8,2.5,163.3,2.0,168.5,2.0,179.4,2.0,183.0,1.9,183.8,2.3,197.4,2.3,210.5,3.0,216.3,2.1
923,Scotland,123.0,2.0,125.7,2.0,131.2,2.1,133.6,1.9,137.8,1.8,145.9,2.1,154.3,2.0,160.8,1.6,159.0,1.4,157.0,1.8,160.8,1.7,166.1,1.7,169.4,1.7,171.8,1.8,184.9,1.7,189.4,1.3,194.4,1.6,203.7,1.5,217.9,2.5,223.4,1.6
922,Northern Ireland,109.4,3.9,119.4,3.4,126.5,3.6,134.6,4.2,130.8,3.8,140.3,3.4,149.7,3.7,158.9,2.9,148.3,3.7,150.4,2.9,147.7,2.6,155.2,2.7,154.2,2.4,162.1,2.7,169.9,2.7,175.1,2.4,184.7,2.6,195.0,2.4,197.9,2.5,207.5,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,116.3,0.6,123.9,0.6,131.2,0.6,133.4,0.6,138.1,0.5,144.0,0.6,146.7,0.6,152.2,0.6,154.1,0.5,153.2,0.5,155.3,0.5,159.6,0.5,161.0,0.5,166.4,0.5,177.1,0.5,181.6,0.5,187.2,0.4,196.6,0.3,201.6,0.6,215.2,0.6
926,United Kingdom,116.2,0.5,122.8,0.5,130.0,0.5,132.3,0.5,137.5,0.5,143.6,0.5,147.0,0.6,152.7,0.5,153.7,0.5,153.0,0.5,155.2,0.4,159.8,0.5,161.0,0.4,166.5,0.5,177.1,0.5,182.0,0.5,187.3,0.2,196.9,0.3,202.4,0.6,215.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
