Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,#,#,#,#,#,#,#,#,#,#,#,#,#,#,767.6,18.0,#,#,"1,006.9",19.0,#,#,#,#,#,#,#,#,"1,034",20,#,#,"1,032",19,#,#,#,-,#,#
00AT,Hounslow,460.6,4.2,462.7,3.7,479.8,4.3,481.2,4.1,489.7,3.7,510.1,4.2,504.3,4.1,536.7,4.2,550.8,3.4,550.3,3.8,564.0,3.8,558.6,4.4,562.6,4.1,560.6,3.8,585.8,3.7,596.5,4.2,617.4,4.0,658.8,3.9,589.2,5.2,675.2,4.8
00AU,Islington,516.8,5.6,539.2,5.0,556.6,4.9,574.9,4.3,587.6,5.6,602.9,6.3,632.3,4.5,638.8,5.1,656.3,4.0,674.8,5.1,677.5,5.2,670.2,5.5,688.3,5.7,670.8,4.1,713.7,4.7,721.5,3.7,804.6,4.7,801.0,4.9,819.7,6.3,774.7,7.7
00AW,Kensington and Chelsea,699.9,14.0,710.6,13.0,858.9,13.0,811.8,11.0,856.6,13.0,786.0,11.0,864.6,12.0,931.1,9.2,919.2,12.0,910.2,9.8,784.7,11.0,823.0,8.4,791.3,11.0,771.4,12.0,735.0,8.3,854.8,7.7,831.2,10.0,901.3,11.0,916.6,10.0,976.2,9.7
00AX,Kingston upon Thames,519.5,4.8,512.7,6.6,512.8,6.3,545.4,6.0,590.0,4.9,620.9,6.1,596.1,5.1,622.7,4.9,624.8,4.7,670.8,5.8,679.5,3.7,690.2,4.4,704.2,4.9,710.2,5.1,707.8,6.4,706.9,5.7,736.7,4.5,742.8,5.5,759.4,7.0,766.6,6.3
00AY,Lambeth,463.7,3.9,493.9,4.8,491.4,4.0,509.6,3.9,508.0,3.3,538.7,3.5,553.0,3.2,598.3,3.3,647.0,3.0,632.4,3.1,625.8,3.2,629.6,3.5,628.3,3.9,616.5,3.5,616.2,3.0,666.1,3.6,689.9,3.7,714.4,2.7,766.6,4.4,746.4,4.8
00AZ,Lewisham,454.8,4.5,492.1,4.2,508.6,4.6,507.9,3.3,517.7,4.0,511.4,4.7,531.3,4.1,549.6,4.0,564.0,3.3,560.7,3.8,594.1,3.3,618.7,3.6,604.8,3.2,606.6,3.5,617.0,3.7,633.7,3.8,622.2,4.1,654.1,4.2,689.7,5.5,721.4,4.9
00BA,Merton,506.0,5.5,507.6,5.1,520.0,5.0,569.4,5.2,535.4,4.0,552.1,3.9,594.0,4.3,613.3,4.9,612.2,4.7,628.5,4.5,614.0,5.6,631.2,5.2,614.2,4.8,619.6,4.6,663.3,5.0,675.0,5.9,688.3,5.3,710.4,6.6,703.7,9.8,681.7,8.5
00BB,Newham,384.0,4.7,380.7,5.0,428.9,4.4,453.8,3.8,471.2,4.2,451.9,4.6,458.4,3.7,491.5,3.2,507.1,2.8,498.2,3.8,521.9,3.5,498.3,4.7,508.3,4.2,505.8,3.6,524.2,3.5,584.9,3.2,587.7,4.2,622.8,3.8,631.6,4.8,677.6,5.6
00BC,Redbridge,484.6,4.6,503.7,3.8,498.0,5.3,532.9,4.4,562.0,5.1,560.0,5.4,588.1,4.6,614.1,4.2,634.8,3.5,579.2,5.9,629.4,4.7,602.8,4.2,616.4,3.9,653.7,4.6,603.0,5.1,644.9,4.8,633.2,3.9,683.9,4.8,703.9,5.9,732.4,5.9
00BD,Richmond upon Thames,619.2,5.2,625.9,5.9,651.7,4.8,652.2,5.1,666.5,4.5,671.3,6.0,736.4,6.0,703.8,5.4,748.5,5.8,766.6,5.3,756.0,6.3,747.3,4.3,763.9,4.6,743.9,4.6,784.6,4.9,739.9,6.5,799.4,5.4,820.3,5.7,885.0,9.1,812.5,6.1
00BE,Southwark,461.9,5.8,489.9,4.0,490.0,5.2,498.7,5.1,542.8,4.6,561.6,4.5,577.2,4.2,617.6,4.7,608.9,4.5,627.1,3.8,631.4,3.9,632.0,4.1,620.9,3.8,642.4,3.9,643.4,3.9,670.1,4.4,672.1,3.5,709.1,3.7,732.9,5.8,724.1,5.6
00BF,Sutton,472.8,4.4,471.0,4.7,476.3,4.6,499.3,4.4,505.7,4.0,543.9,4.7,566.1,4.2,570.5,3.8,584.7,3.9,582.0,3.3,593.5,3.7,594.6,3.1,581.4,4.1,605.6,3.8,638.0,4.1,639.5,4.5,659.7,5.1,668.6,4.8,651.1,6.0,695.8,5.3
00BG,Tower Hamlets,482.0,4.8,500.1,4.3,547.3,4.9,550.6,4.3,543.4,4.4,608.9,4.2,638.6,4.9,651.6,4.7,646.3,4.5,639.4,4.1,649.9,4.1,659.8,4.5,662.6,3.7,634.7,5.1,664.7,4.3,710.4,4.1,725.5,4.5,780.4,4.2,779.2,5.7,797.3,5.6
00BH,Waltham Forest,455.0,3.4,476.8,3.6,475.2,3.6,488.8,3.8,498.4,4.5,510.3,4.3,528.6,4.5,541.4,3.4,545.6,4.3,542.2,3.5,527.7,4.0,528.5,4.1,542.9,3.8,546.9,3.3,577.1,3.3,574.9,4.4,622.9,4.3,680.3,4.1,716.2,4.6,727.7,4.2
00BJ,Wandsworth,556.2,4.1,553.6,4.1,571.0,3.9,601.7,3.1,613.3,3.2,613.9,4.2,670.8,3.4,703.3,3.8,689.0,2.8,689.9,3.2,689.6,3.1,704.2,3.0,708.3,3.2,719.7,3.0,762.3,3.5,757.4,3.2,773.5,5.1,811.8,3.8,807.0,5.1,842.9,4.6
00BK,Westminster,527.0,6.3,555.2,6.2,614.2,7.5,607.0,6.8,638.5,5.1,670.8,5.7,704.8,4.9,743.6,6.1,815.2,6.6,775.3,7.1,805.6,5.9,737.5,7.5,766.6,5.7,766.5,6.3,781.8,6.1,807.4,5.8,833.7,6.0,812.8,6.6,817.3,8.8,841.8,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,343.2,1.6,350.5,1.2,368.8,1.5,383.3,1.4,391.5,1.3,401.0,1.6,421.7,1.6,438.5,1.5,443.4,1.2,448.5,1.1,454.9,1.1,472.2,1.2,476.7,1.3,485.6,1.2,492.4,1.2,504.1,1.2,511.1,1.4,531.4,1.4,525.2,1.5,546.8,1.5
B,North West,370.2,0.9,383.2,0.9,395.0,0.9,409.5,0.8,419.6,0.9,433.7,0.9,451.3,0.9,460.0,0.8,471.0,0.9,458.7,0.8,472.1,0.9,483.3,0.7,485.3,0.8,491.5,0.8,502.5,0.8,514.5,0.9,529.8,0.8,555.8,0.9,558.1,1.1,578.0,0.7
