Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,!,!,!,!,#,-,#,-,!,!,7.06,-,#,-,#,-,#,-,!,!,!,!,#,-,!,!,!,!,#,-,#,-,#,#,#,-
00AT,Hounslow,7.0,9.5,8.4,7.6,8.3,6.5,7.9,8.4,7.9,7.9,8.6,9.8,8.66,6.4,8.62,8.3,8.78,6.1,8.71,6.7,7.92,6.7,10.00,7.7,8.55,6.5,8.92,7.3,9.40,6.2,9.87,5.5,9.70,3.8,10.00,4.0,10.88,5.8,11.34,4.0
00AU,Islington,7.5,11.0,7.8,18.0,7.1,16.0,8.1,18.0,10.6,15.0,#,#,10.64,13.0,9.58,16.0,9.87,10.0,10.44,9.6,10.19,11.0,9.62,8.2,9.78,9.7,9.95,6.3,10.38,6.9,10.46,6.4,11.94,9.9,12.58,9.7,13.31,9.7,12.59,10.0
00AW,Kensington and Chelsea,6.7,13.0,7.0,20.0,9.0,16.0,8.1,20.0,8.0,9.4,9.0,11.0,9.87,14.0,10.00,18.0,9.42,16.0,11.52,16.0,#,#,12.86,19.0,11.90,16.0,#,#,9.77,17.0,13.19,19.0,11.76,19.0,11.95,12.0,#,#,13.43,15.0
00AX,Kingston upon Thames,6.6,12.0,8.0,10.0,7.8,11.0,7.8,16.0,8.6,11.0,8.6,13.0,10.30,18.0,11.41,13.0,10.47,9.6,12.23,17.0,10.58,10.0,9.64,11.0,10.95,10.0,10.65,9.9,10.66,12.0,10.00,9.1,10.14,6.8,12.25,10.0,11.67,8.7,11.09,8.7
00AY,Lambeth,6.3,7.8,6.9,9.5,7.1,7.7,8.3,8.7,8.5,9.5,8.1,11.0,8.02,11.0,8.67,11.0,9.37,10.0,8.29,6.2,8.34,6.4,8.36,6.8,8.64,6.0,9.13,4.9,9.42,6.1,10.21,5.8,9.91,4.9,10.43,2.9,10.66,5.9,11.61,8.9
00AZ,Lewisham,7.4,10.0,7.8,8.9,8.0,11.0,7.3,10.0,8.0,7.1,8.7,7.6,8.49,8.8,8.78,7.8,9.52,9.3,8.95,6.5,9.39,6.3,9.31,9.4,9.49,7.5,9.60,6.3,9.95,5.1,10.48,7.3,10.40,6.7,10.55,4.8,11.04,10.0,11.37,8.2
00BA,Merton,7.2,11.0,7.4,11.0,8.5,12.0,8.4,13.0,8.4,9.6,10.0,13.0,9.91,12.0,8.49,9.2,8.67,9.8,9.21,8.2,8.99,10.0,9.09,10.0,10.47,9.6,8.98,8.6,8.62,9.6,9.71,8.0,9.74,5.6,10.93,6.1,10.64,8.0,11.68,8.2
00BB,Newham,6.0,5.2,6.7,7.4,6.6,6.6,6.9,5.6,7.2,5.7,6.9,6.6,6.99,5.6,7.00,5.7,7.06,3.4,7.12,3.8,7.54,3.0,7.41,3.5,7.50,3.3,7.99,3.2,8.50,3.7,8.50,3.6,9.19,3.8,9.65,3.8,10.20,4.1,10.56,5.6
00BC,Redbridge,6.5,12.0,7.2,8.6,7.0,14.0,7.8,4.5,8.3,10.0,8.9,13.0,9.32,11.0,9.44,10.0,8.93,8.2,9.48,9.4,9.00,13.0,9.45,8.8,8.74,5.0,9.61,6.7,10.10,8.0,9.94,8.5,9.75,5.4,10.00,6.5,10.87,7.2,11.23,5.1
00BD,Richmond upon Thames,9.2,20.0,10.1,14.0,10.3,15.0,10.1,12.0,11.4,13.0,12.3,18.0,11.90,17.0,12.74,12.0,11.42,9.4,13.49,14.0,13.86,12.0,13.05,14.0,12.12,13.0,12.23,12.0,14.91,16.0,17.55,15.0,14.52,14.0,13.17,15.0,13.69,16.0,13.46,7.6
00BE,Southwark,6.2,8.8,7.4,11.0,7.0,10.0,7.0,10.0,7.0,6.4,7.3,6.6,8.17,8.1,7.69,6.8,8.58,7.6,8.47,5.8,8.26,5.4,8.49,4.8,8.80,4.7,9.14,6.4,9.91,5.0,10.45,6.2,10.46,5.3,10.63,3.8,10.75,8.6,11.24,6.8
00BF,Sutton,6.8,11.0,7.8,12.0,7.0,9.0,8.0,9.4,9.0,8.5,8.8,10.0,9.41,10.0,10.02,8.9,9.25,7.5,9.01,6.2,10.00,7.6,10.66,9.6,10.29,8.4,9.67,8.2,10.43,5.8,9.94,6.7,10.52,5.6,11.82,6.9,10.70,7.5,12.70,8.4
00BG,Tower Hamlets,7.2,10.0,6.9,8.8,7.2,11.0,7.8,7.3,7.7,11.0,8.5,14.0,8.26,6.6,8.21,8.4,9.10,8.5,7.84,5.7,7.66,6.0,8.29,5.9,7.83,5.1,8.05,6.8,8.95,5.4,9.33,5.2,9.55,4.5,10.01,6.1,10.45,4.8,10.69,4.3
00BH,Waltham Forest,6.1,5.7,6.7,7.7,6.8,9.5,7.1,6.5,7.6,8.7,6.9,8.5,7.99,7.9,8.00,9.7,8.89,7.4,8.34,7.0,8.10,4.8,8.58,8.2,8.75,4.9,8.60,5.0,9.42,5.9,8.90,4.4,9.91,4.0,10.04,3.2,10.30,4.9,11.27,8.2
00BJ,Wandsworth,7.2,11.0,7.7,8.6,8.3,12.0,8.4,13.0,8.7,10.0,8.4,14.0,9.02,14.0,10.70,9.1,10.05,12.0,10.55,10.0,10.38,9.4,10.57,10.0,9.88,9.6,11.68,11.0,12.35,10.0,12.34,11.0,11.41,11.0,11.93,10.0,11.95,7.5,11.87,6.8
00BK,Westminster,6.5,15.0,7.6,19.0,7.4,12.0,7.3,7.4,#,#,9.3,16.0,#,#,8.04,19.0,8.63,8.6,9.01,8.4,8.46,9.6,8.92,12.0,8.98,8.8,10.09,16.0,10.33,10.0,10.03,9.4,10.26,9.9,10.51,7.7,11.41,14.0,12.84,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,5.3,2.1,5.8,1.9,5.9,1.9,6.1,1.8,6.5,1.8,6.8,1.9,6.90,2.1,7.49,2.0,7.32,1.6,7.57,2.0,7.65,1.7,7.80,1.7,7.89,1.6,8.00,1.4,8.49,1.5,8.71,1.3,8.85,1.1,9.36,0.9,10.00,1.4,10.21,1.5
B,North West,5.5,1.1,5.9,1.1,6.1,1.2,6.4,1.2,6.7,1.2,6.9,1.4,7.14,1.3,7.46,1.0,7.56,1.1,7.54,0.9,7.81,1.1,7.87,0.9,7.98,1.0,8.18,1.0,8.46,0.9,8.74,0.9,9.02,0.8,9.63,0.7,10.00,0.6,10.13,0.7
