Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,-,#,-,#,-,#,-,648.6,12.0,#,-,#,-,#,-,#,-,661.6,-,#,#,#,-,#,-,691.9,-,#,-,#,-,#,-
00AT,Hounslow,326.5,5.6,310.4,5.7,320.9,7.6,330.3,6.7,363.9,6.1,393.3,7.6,391.8,6.9,386.6,7.6,412.2,6.9,399.5,6.3,398.2,6.3,429.2,7.5,412.1,6.3,414.6,5.5,421.0,6.6,422.3,6.4,440.8,6.7,431.1,8.3,434.8,8.2,450.3,8.6
00AU,Islington,403.1,9.8,408.6,9.0,437.3,6.6,465.9,6.5,457.9,6.1,467.0,6.6,517.4,7.4,560.3,6.0,555.8,5.6,549.9,5.4,565.8,5.1,537.5,6.2,558.9,5.5,528.0,5.0,546.7,4.6,574.9,5.6,613.3,6.7,630.1,5.2,581.2,10.0,642.5,9.6
00AW,Kensington and Chelsea,460.7,12.0,478.3,9.8,528.1,10.0,486.3,11.0,460.0,13.0,518.1,9.9,664.8,13.0,580.4,16.0,590.9,12.0,566.2,11.0,558.1,11.0,575.3,11.0,532.1,14.0,558.2,15.0,628.2,7.4,673.0,10.0,653.5,12.0,657.3,13.0,690.9,16.0,670.5,12.0
00AX,Kingston upon Thames,346.5,12.0,359.4,12.0,394.1,9.4,375.8,11.0,414.9,10.0,441.1,10.0,404.0,9.3,447.6,9.3,459.5,10.0,483.6,9.5,487.7,11.0,452.2,11.0,453.3,8.6,499.5,6.6,493.9,9.1,478.9,11.0,508.9,8.4,513.2,8.4,497.6,12.0,496.2,9.5
00AY,Lambeth,375.6,6.8,376.2,6.5,416.9,6.6,435.4,5.9,412.7,5.9,434.8,6.3,440.1,6.1,475.1,6.1,525.0,4.8,494.0,6.5,541.2,5.2,510.5,4.1,517.5,5.3,486.3,4.2,494.5,4.1,559.2,4.5,558.7,5.7,590.1,5.5,603.7,7.4,609.1,6.7
00AZ,Lewisham,364.7,6.9,371.5,7.9,367.8,8.0,357.2,7.3,380.2,8.0,375.7,7.3,389.2,8.6,454.0,6.6,447.7,6.9,418.5,5.4,432.2,6.7,447.4,6.6,462.6,6.0,454.9,6.5,488.1,5.7,478.1,4.7,499.0,4.5,491.1,4.8,528.2,6.9,520.2,7.3
00BA,Merton,388.5,6.7,382.9,7.8,373.4,9.2,399.1,7.5,383.4,6.7,429.6,8.3,416.9,7.6,432.5,8.4,483.7,6.2,455.1,7.3,459.6,6.7,479.1,5.6,498.3,5.7,492.9,6.1,516.2,5.4,489.9,6.1,507.9,7.2,537.0,5.5,515.5,10.0,552.7,6.3
00BB,Newham,301.6,9.4,318.1,9.0,298.7,10.0,341.4,8.3,345.1,8.5,336.8,10.0,351.0,7.4,358.4,7.5,354.8,7.6,363.4,7.0,337.3,7.2,358.8,6.3,337.6,7.0,346.2,7.0,382.8,6.8,400.2,6.3,409.6,5.3,420.8,5.4,475.5,6.7,501.1,6.5
00BC,Redbridge,346.6,7.9,363.7,7.5,390.0,7.7,395.0,8.7,406.9,6.9,432.3,5.6,463.3,8.1,442.9,7.3,420.6,8.1,420.0,7.4,438.2,7.7,403.4,7.9,459.7,6.5,454.5,6.5,441.6,7.4,444.8,7.6,468.7,6.4,466.3,6.7,448.9,12.0,471.4,10.0
00BD,Richmond upon Thames,468.8,7.7,511.6,9.0,490.4,8.9,507.3,8.2,508.1,8.1,488.3,8.8,517.3,10.0,510.1,7.7,527.0,8.1,534.8,6.4,574.9,6.5,570.8,11.0,522.7,10.0,536.6,9.0,536.2,8.8,539.2,6.3,551.2,7.0,581.5,8.2,571.7,9.5,573.5,9.8
