Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,-,#,#,#,#,#,-,17.56,20.0,#,-,#,-,23.91,-,#,-,16.74,-,16.17,-,#,-,22.15,-,#,#,20.71,-,#,-,#,-
00AT,Hounslow,9.4,5.0,9.4,3.9,10.0,4.8,10.1,4.5,10.2,4.8,11.2,5.9,11.39,5.3,11.98,5.5,12.52,5.4,11.67,6.3,11.31,7.1,12.76,6.0,11.92,5.7,11.85,4.8,12.14,5.7,12.69,5.3,12.75,6.1,13.42,7.1,13.50,5.0,14.07,5.8
00AU,Islington,11.3,8.2,12.1,8.7,12.3,7.5,13.0,7.5,13.4,6.8,13.5,6.2,15.27,5.8,15.83,6.4,15.29,5.7,15.22,6.3,15.70,6.0,15.49,4.8,15.86,5.9,15.08,4.7,15.76,5.9,16.83,6.5,17.82,6.3,18.08,5.2,18.06,9.9,20.84,9.7
00AW,Kensington and Chelsea,12.3,12.0,13.3,8.9,15.3,12.0,14.0,9.8,14.1,9.8,14.7,9.1,18.36,13.0,16.49,15.0,16.58,11.0,16.49,9.4,16.31,12.0,17.27,9.8,16.46,11.0,16.84,10.0,16.75,7.3,18.93,11.0,19.86,12.0,18.01,11.0,21.02,13.0,19.46,10.0
00AX,Kingston upon Thames,9.9,8.4,11.3,7.0,11.0,7.8,11.4,8.9,12.6,7.6,12.8,8.3,12.07,9.2,12.70,7.5,13.46,6.6,14.62,7.3,14.32,7.3,14.25,8.9,14.08,8.5,14.57,6.5,14.95,7.4,14.14,10.0,15.10,8.8,15.19,8.3,14.82,9.8,14.91,8.6
00AY,Lambeth,10.7,6.9,11.8,7.4,11.7,6.3,12.3,6.1,11.9,4.6,12.4,5.7,12.60,5.7,14.39,5.9,15.63,4.8,13.93,5.7,15.07,5.0,14.31,4.9,14.56,4.5,13.80,5.0,13.95,4.5,15.40,3.9,15.42,4.9,16.58,4.8,17.04,6.0,17.09,5.9
00AZ,Lewisham,10.7,7.7,11.1,7.6,11.3,7.1,10.7,6.9,11.2,5.6,11.5,6.4,11.87,6.3,12.69,5.2,13.27,4.5,13.00,4.9,13.42,6.5,13.86,6.1,14.06,5.9,13.92,6.0,14.40,5.8,14.84,5.7,14.47,5.4,14.23,4.6,16.23,8.0,15.72,7.8
00BA,Merton,11.1,5.8,11.2,7.0,11.2,6.9,11.7,7.1,11.0,5.4,12.3,6.4,12.28,7.6,13.03,6.1,13.70,6.4,13.55,6.3,14.01,6.0,13.40,5.8,14.79,5.6,14.38,4.9,14.67,5.6,14.77,6.7,15.57,6.4,15.93,6.9,15.66,9.9,16.07,8.9
00BB,Newham,8.6,9.1,9.1,8.9,8.7,8.9,9.9,6.2,9.6,6.3,9.6,9.0,10.22,7.5,10.01,7.9,10.30,7.6,10.35,5.8,10.34,6.4,10.58,6.2,9.92,5.7,9.96,5.6,10.62,5.5,11.82,5.5,11.27,4.9,12.82,6.1,14.11,7.8,15.01,7.2
00BC,Redbridge,10.3,7.6,10.6,8.1,11.0,7.4,11.4,8.3,12.4,6.7,13.3,6.0,13.69,6.7,13.25,7.6,12.97,7.4,12.77,5.7,13.10,7.0,12.58,5.8,13.49,5.7,13.12,6.4,13.22,5.2,13.29,6.3,13.30,4.6,13.79,5.6,14.33,7.7,14.25,7.6
00BD,Richmond upon Thames,13.4,6.3,14.8,6.6,14.7,8.5,15.0,6.9,15.6,6.3,15.0,9.1,16.09,9.2,15.65,5.8,15.83,6.6,17.03,6.8,17.76,6.0,18.05,8.2,16.73,9.9,16.94,6.1,17.89,7.9,17.13,7.1,16.87,6.2,17.28,6.5,18.12,12.0,16.53,7.8
00BE,Southwark,9.7,7.2,10.6,5.2,10.8,6.4,11.2,6.8,12.0,7.1,12.5,6.5,12.66,6.5,13.18,7.1,13.89,5.8,13.79,3.9,13.87,5.6,14.01,5.1,13.72,6.0,14.93,5.0,14.03,5.9,15.66,4.8,15.95,4.3,16.44,4.3,16.44,7.1,17.09,4.4
00BF,Sutton,9.5,5.8,10.0,6.0,9.7,5.8,10.3,6.7,11.3,5.1,11.7,5.4,11.82,5.9,12.26,5.3,12.19,5.1,12.10,5.7,12.45,5.4,12.95,4.6,13.03,5.0,12.54,5.7,12.44,4.7,13.47,5.7,13.73,5.8,13.77,6.2,15.34,10.0,15.78,6.4
00BG,Tower Hamlets,10.9,9.7,11.1,8.6,12.1,10.0,13.6,6.2,12.6,8.4,13.5,7.4,13.02,10.0,14.52,7.8,15.14,6.4,13.76,7.6,14.86,6.7,14.79,7.7,13.92,5.8,13.38,6.3,14.39,5.6,15.50,6.6,16.54,5.7,18.23,4.5,17.97,6.2,18.99,5.1
00BH,Waltham Forest,10.0,6.9,10.5,8.8,10.4,7.0,10.6,8.3,11.0,7.7,11.0,8.5,11.48,7.1,11.93,7.0,12.12,7.9,11.29,7.1,11.67,7.8,11.11,6.4,11.18,5.2,11.52,5.7,11.92,4.7,11.84,5.6,13.09,6.3,14.11,6.6,13.89,9.0,16.09,6.8
00BJ,Wandsworth,12.8,5.1,12.7,4.3,13.1,4.5,13.7,4.4,14.4,4.5,14.4,5.5,15.67,4.1,16.01,3.9,16.22,4.4,16.77,4.5,16.48,5.2,16.88,4.6,16.98,3.2,17.81,4.8,17.83,4.4,17.47,4.0,18.79,4.2,19.90,4.6,20.38,7.1,19.99,6.0
00BK,Westminster,12.0,6.0,11.8,6.9,12.7,8.0,12.9,8.3,14.9,7.0,16.2,6.8,16.78,7.3,15.22,6.7,15.46,7.6,16.18,6.7,16.74,8.5,16.32,8.0,16.87,6.9,15.37,8.7,16.69,7.7,17.89,8.2,19.98,6.9,17.09,8.1,19.88,14.0,21.49,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,6.4,1.5,6.9,1.4,7.2,1.6,7.5,1.4,7.8,1.3,8.2,1.7,8.41,1.6,8.95,1.4,9.03,1.4,9.26,1.4,9.37,1.6,9.67,1.5,9.66,1.5,9.92,1.2,10.09,1.3,10.37,1.5,10.52,1.4,10.88,1.1,11.29,1.7,11.56,1.5
B,North West,6.9,1.1,7.3,1.2,7.5,1.1,8.0,1.1,8.3,1.0,8.6,1.0,8.81,1.1,9.19,0.9,9.46,1.0,9.44,0.9,9.58,0.8,9.84,0.8,9.89,0.7,10.11,0.8,10.27,0.9,10.57,0.9,10.84,1.0,11.50,1.0,12.06,1.2,12.28,1.0
D,Yorkshire and The Humber,6.6,1.0,7.0,1.1,7.2,1.2,7.6,1.2,7.9,1.1,8.2,1.2,8.40,1.3,8.91,1.1,9.11,1.1,9.06,1.1,9.28,1.1,9.47,1.3,9.49,1.0,9.69,1.0,9.98,0.8,10.08,0.8,10.43,0.9,10.98,0.8,11.46,1.3,11.85,1.1
E,East Midlands,6.6,1.3,7.1,1.1,7.3,1.5,7.7,1.3,8.1,1.1,8.2,1.1,8.62,1.2,8.95,1.1,8.96,1.1,9.04,0.9,9.33,1.2,9.50,1.2,9.58,1.1,9.62,1.2,9.97,1.0,10.15,1.0,10.35,1.0,10.97,1.0,11.54,1.4,11.94,1.2
F,West Midlands,6.8,1.3,7.1,1.3,7.4,1.2,7.9,1.0,8.2,1.1,8.5,1.3,8.66,1.2,9.10,1.0,9.30,1.0,9.21,1.0,9.43,1.1,9.65,1.0,9.66,1.0,9.78,1.0,10.10,0.8,10.36,0.9,10.70,1.0,11.28,1.1,11.82,1.4,12.23,1.2
G,East,7.3,1.2,7.8,1.3,8.0,1.4,8.4,1.2,8.7,1.2,9.0,1.4,9.36,1.2,9.68,1.1,9.98,0.9,10.05,0.9,10.12,1.0,10.48,1.1,10.42,1.2,10.46,1.2,10.90,1.3,11.21,1.1,11.60,1.1,12.10,1.0,12.92,1.3,13.01,1.0
H,London,10.4,1.1,10.8,1.1,11.2,1.2,11.4,1.0,11.8,1.0,12.4,1.1,12.69,1.0,13.20,0.9,13.35,1.0,13.22,1.0,13.68,1.0,13.53,1.0,13.58,1.0,13.54,0.9,13.94,0.9,14.45,1.0,14.80,1.0,15.33,0.8,15.64,1.3,16.11,1.1
J,South East,8.1,0.7,8.6,0.8,8.8,0.9,9.1,0.7,9.4,0.8,9.7,0.9,9.93,0.8,10.25,0.9,10.50,0.8,10.59,0.8,10.90,0.8,10.97,0.8,11.22,0.8,11.32,0.8,11.82,0.8,12.00,0.8,12.29,0.8,12.77,0.7,13.16,1.0,13.84,0.9
K,South West,6.8,1.2,7.3,1.2,7.5,1.1,7.9,1.0,8.2,1.0,8.4,1.1,8.82,1.0,9.17,0.9,9.44,1.0,9.41,1.0,9.69,1.0,9.83,0.9,9.85,0.9,10.04,0.7,10.37,0.9,10.45,1.0,10.89,1.0,11.47,0.9,11.80,1.2,12.09,1.0
924,Wales,6.6,1.7,7.0,1.7,7.4,1.6,7.8,1.4,8.1,1.4,8.4,1.7,8.66,1.5,9.07,1.4,9.25,1.5,9.23,1.3,9.33,1.3,9.72,1.2,9.85,1.2,9.95,1.4,10.29,1.3,10.46,1.3,10.65,1.4,11.36,1.3,11.94,1.7,12.27,1.4
923,Scotland,7.2,1.1,7.5,1.1,7.8,1.2,8.3,1.0,8.5,1.0,8.9,1.0,9.40,1.3,9.77,1.1,9.94,1.0,10.00,1.0,10.09,1.1,10.41,1.1,10.57,1.1,10.83,1.1,11.16,1.1,11.42,1.1,11.79,0.9,12.41,0.7,13.37,1.3,13.53,1.0
922,Northern Ireland,6.8,2.1,7.2,2.1,7.6,2.2,8.2,2.0,8.4,2.1,8.5,1.9,8.95,2.1,9.28,2.1,9.32,1.6,9.44,1.8,9.56,1.8,9.85,1.5,9.63,1.8,9.87,1.6,10.24,1.7,10.51,2.1,10.70,2.2,11.14,1.7,11.56,2.2,12.37,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,7.3,0.3,7.8,0.3,8.0,0.3,8.4,0.2,8.7,0.2,9.0,0.2,9.32,0.3,9.71,0.3,9.93,0.2,9.91,0.2,10.10,0.2,10.34,0.2,10.39,0.2,10.50,0.2,10.95,0.2,11.19,0.3,11.49,0.2,12.03,0.1,12.56,0.3,12.87,0.3
926,United Kingdom,7.3,0.2,7.7,0.2,8.0,0.2,8.4,0.2,8.7,0.1,9.0,0.2,9.30,0.2,9.68,0.2,9.90,0.1,9.91,0.2,10.06,0.2,10.32,0.2,10.37,0.2,10.50,0.2,10.93,0.2,11.18,0.2,11.50,0.2,12.02,0.1,12.58,0.3,12.92,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
