Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-,#,#,#,#,#,#,#,#,#,-,#,-,#,#
00AT,Hounslow,473.3,6.2,476.8,5.0,494.9,6.3,501.2,6.0,493.2,6.4,510.9,7.3,483.7,7.4,505.8,6.3,516.6,5.9,532.5,5.7,535.5,5.6,528.9,6.0,530.4,7.5,551.5,4.2,550.5,4.9,586.1,6.0,618.5,5.6,657.8,6.1,574.9,8.2,626.4,7.0
00AU,Islington,492.9,7.1,545.3,7.7,570.3,7.3,575.3,5.8,584.9,8.0,606.6,9.1,601.9,7.3,603.8,8.8,648.3,6.9,690.5,7.8,651.6,8.9,664.2,7.6,671.8,7.8,685.0,5.7,717.5,6.8,727.8,6.2,771.6,7.6,772.7,6.0,797.5,9.2,669.6,11.0
00AW,Kensington and Chelsea,926.0,16.0,903.6,17.0,974.5,20.0,"1,014.8",13.0,956.6,18.0,958.2,18.0,910.8,16.0,"1,058.2",12.0,"1,173.5",17.0,"1,054.1",15.0,816.1,17.0,902.2,16.0,#,#,#,#,746,16,884,13,740,17,919.9,20.0,#,#,#,#
00AX,Kingston upon Thames,552.5,9.2,504.0,12.0,505.4,9.4,551.9,8.2,591.9,9.0,634.0,8.1,623.6,8.5,663.9,6.5,619.9,7.7,674.3,8.7,676.3,7.4,690.9,6.5,700.6,6.8,710.2,7.1,673.3,9.6,691.1,7.3,766.0,8.0,791.1,9.3,769.2,12.0,848.8,11.0
00AY,Lambeth,448.0,6.9,476.2,7.2,482.2,6.2,483.8,6.1,504.2,5.1,546.0,5.5,543.5,5.5,555.8,4.3,623.8,5.4,593.2,6.4,600.8,4.7,582.2,5.9,575.7,6.2,601.9,5.0,614.8,5.0,647.7,6.1,660.0,6.2,689.9,5.6,729.1,7.3,742.3,5.6
00AZ,Lewisham,423.5,6.3,481.5,5.8,486.6,7.2,496.3,6.4,475.9,5.7,473.5,4.9,488.7,6.0,530.8,5.8,530.5,5.2,515.3,4.7,546.1,5.1,594.5,4.3,574.9,4.9,579.1,5.3,575.9,6.7,612.8,5.5,608.2,4.7,618.2,6.2,590.0,7.2,645.3,8.1
00BA,Merton,544.4,7.1,517.7,8.1,520.5,6.5,610.3,6.4,546.3,5.2,574.9,5.5,621.0,5.8,648.5,6.3,608.5,7.2,655.2,6.1,618.3,7.6,645.1,7.7,592.1,7.4,590.1,7.6,652.5,6.2,672.7,7.7,636.0,7.9,629.8,8.4,631.6,12.0,630.9,8.6
00BB,Newham,358.2,5.9,355.4,6.7,419.0,5.8,426.4,6.0,431.0,5.9,427.8,7.3,440.8,5.2,458.1,4.9,466.0,5.0,392.2,7.3,402.4,8.8,425.8,6.6,430.0,6.7,490.6,5.7,477.6,6.3,521.7,5.6,529.8,6.6,585.6,5.4,574.1,7.7,624.7,6.2
00BC,Redbridge,475.4,7.1,509.3,7.6,495.7,8.5,489.4,8.7,537.9,7.4,557.3,8.7,579.6,7.4,600.4,5.8,613.3,6.5,546.6,8.6,640.9,5.9,609.1,5.4,597.8,6.2,656.0,7.0,623.3,8.2,674.0,6.3,626.5,5.9,655.3,7.2,726.1,7.9,719.7,7.7
00BD,Richmond upon Thames,727.5,7.8,686.6,9.6,738.7,9.0,683.7,9.0,670.8,9.2,685.7,9.1,771.7,8.5,769.5,8.2,858.6,7.8,798.4,8.4,813.8,8.8,749.1,7.7,724.0,6.3,728.0,8.1,794.6,7.2,781.2,8.1,862.4,8.7,883.5,8.4,889.4,11.0,833.9,10.0
